Red,Green,Blue
0.417,0.25,0.333
0.429,0.286,0.286
0.429,0.286,0.286
0.417,0.25,0.333
0.462,0.231,0.308
0.467,0.267,0.267
0.429,0.286,0.286
0.385,0.308,0.308
0.312,0.375,0.312
0.429,0.286,0.286
0.429,0.286,0.286
0.4,0.267,0.333
0.417,0.25,0.333
0.385,0.308,0.308
0.375,0.312,0.312
0.562,0.187,0.25
0.562,0.187,0.25
0.562,0.187,0.25
0.562,0.187,0.25
0.533,0.2,0.267
0.615,0.154,0.231
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.615,0.154,0.231
0.615,0.154,0.231
0.615,0.154,0.231
0.615,0.154,0.231
0.583,0.167,0.25
0.615,0.154,0.231
0.615,0.154,0.231
0.583,0.167,0.25
0.615,0.154,0.231
0.6,0.133,0.267
0.6,0.133,0.267
0.571,0.143,0.286
0.571,0.143,0.286
0.615,0.154,0.231
0.583,0.167,0.25
0.615,0.154,0.231
0.615,0.154,0.231
0.583,0.167,0.25
0.615,0.154,0.231
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.615,0.154,0.231
0.583,0.167,0.25
0.583,0.167,0.25
0.615,0.154,0.231
0.615,0.154,0.231
0.533,0.2,0.267
0.583,0.167,0.25
0.562,0.187,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.571,0.143,0.286
0.583,0.167,0.25
0.571,0.143,0.286
0.583,0.167,0.25
0.583,0.167,0.25
0.571,0.143,0.286
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.562,0.187,0.25
0.571,0.143,0.286
0.583,0.167,0.25
0.571,0.143,0.286
0.562,0.187,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.533,0.2,0.267
0.571,0.143,0.286
0.571,0.143,0.286
0.533,0.2,0.267
0.571,0.143,0.286
0.571,0.143,0.286
0.583,0.167,0.25
0.583,0.167,0.25
0.571,0.143,0.286
0.533,0.2,0.267
0.615,0.154,0.231
0.571,0.143,0.286
0.571,0.143,0.286
0.583,0.167,0.25
0.571,0.143,0.286
0.571,0.143,0.286
0.583,0.167,0.25
0.583,0.167,0.25
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.615,0.154,0.231
0.615,0.154,0.231
0.615,0.154,0.231
0.615,0.154,0.231
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.571,0.143,0.286
0.533,0.2,0.267
0.571,0.143,0.286
0.583,0.167,0.25
0.533,0.2,0.267
0.562,0.187,0.25
0.538,0.154,0.308
0.533,0.2,0.267
0.562,0.187,0.25
0.562,0.187,0.25
0.5,0.214,0.286
0.529,0.176,0.294
0.529,0.176,0.294
0.533,0.2,0.267
0.529,0.176,0.294
0.5,0.214,0.286
0.5,0.214,0.286
0.562,0.187,0.25
0.538,0.154,0.308
0.562,0.187,0.25
0.562,0.187,0.25
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.562,0.187,0.25
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.562,0.187,0.25
0.562,0.187,0.25
0.583,0.167,0.25
0.615,0.154,0.231
0.562,0.187,0.25
0.562,0.187,0.25
0.583,0.167,0.25
0.562,0.187,0.25
0.562,0.187,0.25
0.571,0.143,0.286
0.533,0.2,0.267
0.562,0.187,0.25
0.562,0.187,0.25
0.5,0.214,0.286
0.562,0.187,0.25
0.538,0.154,0.308
0.538,0.154,0.308
0.562,0.187,0.25
0.533,0.2,0.267
0.533,0.2,0.267
0.556,0.167,0.278
0.529,0.176,0.294
0.533,0.2,0.267
0.533,0.2,0.267
0.556,0.167,0.278
0.533,0.2,0.267
0.533,0.2,0.267
0.529,0.176,0.294
0.562,0.187,0.25
0.533,0.2,0.267
0.562,0.187,0.25
0.533,0.2,0.267
0.562,0.187,0.25
0.562,0.187,0.25
0.615,0.154,0.231
0.562,0.187,0.25
0.583,0.167,0.25
0.583,0.167,0.25
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.583,0.167,0.25
0.533,0.2,0.267
0.533,0.2,0.267
0.583,0.167,0.25
0.5,0.214,0.286
0.583,0.167,0.25
0.5,0.214,0.286
0.533,0.2,0.267
0.533,0.2,0.267
0.533,0.2,0.267
0.533,0.2,0.267
0.533,0.2,0.267
0.5,0.222,0.278
0.533,0.2,0.267
0.5,0.214,0.286
0.529,0.176,0.294
0.5,0.222,0.278
0.5,0.214,0.286
0.471,0.235,0.294
0.467,0.267,0.267
0.4,0.267,0.333
